Year,Province,Species Group,Species,Quantity (kgs),Value (CAD)
2011,Nova Scotia,Pelagics,Tuna,"490,871","7,108,361"
2011,Nova Scotia,Other,Marine plants,"4,444,387","440,728"
2011,Nova Scotia,Other,Miscellaneous,x,x
2011,Nova Scotia,Other,Total other,"4,444,444","441,624"
2011,Nova Scotia,Groundfish,Cod,"2,560,646","5,089,673"
2011,Nova Scotia,Groundfish,Flatfishes,"1,899,932","3,016,495"
2011,Nova Scotia,Groundfish,Greenland turbot,"57,297","95,743"
2011,Nova Scotia,Groundfish,Haddock,"15,062,950","24,890,257"
2011,Nova Scotia,Groundfish,Hake,"10,751,155","8,555,510"
2011,Nova Scotia,Groundfish,Halibut,"1,589,015","19,458,253"
2011,Nova Scotia,Groundfish,Other groundfish,"3,858,710","3,928,754"
2011,Nova Scotia,Groundfish,Pollock,"5,304,272","4,852,380"
2011,Nova Scotia,Groundfish,Redfish spp.,"10,357,511","8,242,723"
2011,Nova Scotia,Groundfish,Skate,"119,035","87,244"
2011,Nova Scotia,Groundfish,Total groundfish,"51,560,523","78,217,031"
2011,Nova Scotia,Grand total,Grand total,"258,676,936","731,991,765"
2011,Prince Edward Island,Shellfish,Clams / quahaug,"1,097,441","1,934,645"
2011,Prince Edward Island,Shellfish,"Crab, Other","2,171,932","1,920,753"
2011,Prince Edward Island,Shellfish,"Crab, Queen","993,283","7,121,775"
2011,Prince Edward Island,Shellfish,Lobster,"9,284,151","84,322,089"
2011,Prince Edward Island,Shellfish,Other shellfish,"1,962,599","4,790,853"
2011,Prince Edward Island,Shellfish,Scallop,"484,032","1,122,666"
2011,Prince Edward Island,Shellfish,Sea cucumber,0,0
2011,Prince Edward Island,Shellfish,Sea urchin,0,0
2011,Prince Edward Island,Shellfish,Shrimp,0,0
2011,Prince Edward Island,Shellfish,Total shellfish,"15,993,438","101,212,780"
2011,Prince Edward Island,Pelagics,Alewife,x,x
2011,Prince Edward Island,Pelagics,Capelin,0,0
2011,Prince Edward Island,Pelagics,Eel,"100,065","610,959"
2011,Prince Edward Island,Pelagics,Elvers,0,0
2011,Prince Edward Island,Pelagics,Herring,"10,608,249","3,424,668"
2011,Prince Edward Island,Pelagics,Mackerel,"1,508,538","1,469,750"
2011,Prince Edward Island,Pelagics,Other pelagic/finfish,x,x
2011,Prince Edward Island,Pelagics,Salmon,0,0
2011,Prince Edward Island,Pelagics,Shark,x,x
2011,Prince Edward Island,Pelagics,Silversides,x,x
2011,Prince Edward Island,Pelagics,Swordfish,0,0
2011,Prince Edward Island,Pelagics,Total pelagics,"12,804,243","8,894,940"
2011,Prince Edward Island,Pelagics,Tuna,"160,103","2,978,550"
2011,Prince Edward Island,Other,Marine plants,"1,854,948","409,802"
2011,Prince Edward Island,Other,Miscellaneous,0,0
2011,Prince Edward Island,Other,Total other,"1,854,948","409,802"
2011,Prince Edward Island,Groundfish,Cod,"21,817","42,267"
2011,Prince Edward Island,Groundfish,Flatfishes,"78,692","150,289"
2011,Prince Edward Island,Groundfish,Greenland turbot,x,x
2011,Prince Edward Island,Groundfish,Haddock,0,0
2011,Prince Edward Island,Groundfish,Hake,0,0
